,timestamp,timestamp.1,main_meter,sub_meter_1,sub_meter_2,weekend,corporate,main_meter_4,main_meter_12,day of week_0,day of week_1,day of week_2,day of week_3,day of week_4,day of week_5,day of week_6,building_number_1,building_number_2,building_number_3,building_number_4,building_number_5,building_number
26400,01-04-2017 0:00,01-04-2017 0:00,2294.069516,1310.6714240000001,1.92319619,1,0,2329.028455,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26401,01-04-2017 1:00,01-04-2017 1:00,2316.791252,1322.278055,1.203170128,1,0,2329.028455,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26402,01-04-2017 2:00,01-04-2017 2:00,2323.61641,1303.178101,0.233014315,1,0,2329.028455,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26403,01-04-2017 3:00,01-04-2017 3:00,2381.636641,1248.440681,2.471782513,1,0,2329.028455,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26404,01-04-2017 4:00,01-04-2017 4:00,2473.107079,1173.056655,208.2318647,1,0,4451.039628,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26405,01-04-2017 5:00,01-04-2017 5:00,4564.04741,1950.1621059999998,1332.613814,1,0,4451.039628,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26406,01-04-2017 6:00,01-04-2017 6:00,5348.98168,2385.785602,1328.155623,1,0,4451.039628,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26407,01-04-2017 7:00,01-04-2017 7:00,5418.022344,2544.023991,1333.755247,1,0,4451.039628,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26408,01-04-2017 8:00,01-04-2017 8:00,5779.364961,2678.497643,1321.820086,1,1,5858.107650999999,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26409,01-04-2017 9:00,01-04-2017 9:00,5846.189399,2704.672339,1330.076955,1,1,5858.107650999999,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26410,01-04-2017 10:00,01-04-2017 10:00,5854.355872,2767.994126,1336.70759,1,1,5858.107650999999,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26411,01-04-2017 11:00,01-04-2017 11:00,5952.52037,2775.7717390000003,1325.75529,1,1,5858.107650999999,4212.7252450000005,0,0,0,0,0,1,0,0,0,0,0,1,5
26412,01-04-2017 12:00,01-04-2017 12:00,5490.68479,2460.1516030000003,1324.7024900000001,1,1,5768.217423,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26413,01-04-2017 13:00,01-04-2017 13:00,5564.604267000001,2558.5574920000004,1330.20857,1,1,5768.217423,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26414,01-04-2017 14:00,01-04-2017 14:00,5768.265415999999,2749.449106,1326.6661279999998,1,1,5768.217423,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26415,01-04-2017 15:00,01-04-2017 15:00,6249.31522,2702.998102,1331.225298,1,1,5768.217423,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26416,01-04-2017 16:00,01-04-2017 16:00,6280.404022,2638.101917,1321.168735,1,1,5676.373886,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26417,01-04-2017 17:00,01-04-2017 17:00,6271.395107,2676.829249,1326.367461,1,1,5676.373886,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26418,01-04-2017 18:00,01-04-2017 18:00,6212.93865,2593.425846,1329.368919,1,1,5676.373886,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26419,01-04-2017 19:00,01-04-2017 19:00,3940.7577659999997,1664.30053,580.3142192,1,1,5676.373886,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26420,01-04-2017 20:00,01-04-2017 20:00,2358.320916,1267.905346,1.280260776,1,0,2371.6113370000003,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26421,01-04-2017 21:00,01-04-2017 21:00,2317.679725,1280.4002369999998,5.609550917000001,1,0,2371.6113370000003,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26422,01-04-2017 22:00,01-04-2017 22:00,2465.581397,1419.849308,0.732696059,1,0,2371.6113370000003,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26423,01-04-2017 23:00,01-04-2017 23:00,2344.863309,1322.682343,3.5604643289999998,1,0,2371.6113370000003,4605.400882,0,0,0,0,0,1,0,0,0,0,0,1,5
26424,02-04-2017 0:00,02-04-2017 0:00,2396.268075,1384.405318,3.044068425,1,0,2360.34016,3721.4861880000003,0,0,0,0,0,0,1,0,0,0,0,1,5
26425,02-04-2017 1:00,02-04-2017 1:00,2256.2063510000003,1250.045416,0.277791437,1,0,2360.34016,3721.4861880000003,0,0,0,0,0,0,1,0,0,0,0,1,5
26426,02-04-2017 2:00,02-04-2017 2:00,2327.7679190000003,1315.641368,3.193375294,1,0,2360.34016,3721.4861880000003,0,0,0,0,0,0,1,0,0,0,0,1,5
26427,02-04-2017 3:00,02-04-2017 3:00,2461.1182940000003,1323.573407,3.780445858,1,0,2360.34016,3721.4861880000003,0,0,0,0,0,0,1,0,0,0,0,1,5
26428,02-04-2017 4:00,02-04-2017 4:00,2325.59993,1262.024535,6.317985582,1,0,3417.5069009999997,3721.4861880000003,0,0,0,0,0,0,1,0,0,0,0,1,5
26429,02-04-2017 5:00,02-04-2017 5:00,2292.25692,1278.583165,1.860415785,1,0,3417.5069009999997,3721.4861880000003,0,0,0,0,0,0,1,0,0,0,0,1,5
26430,02-04-2017 6:00,02-04-2017 6:00,3764.7264649999997,1750.1896739999997,792.4181197,1,0,3417.5069009999997,3721.4861880000003,0,0,0,0,0,0,1,0,0,0,0,1,5
