,timestamp,main_meter,sub_meter_1,sub_meter_2,building_number,weekend,corporate
0,2017-04-01 00:00:00,3778.895814999702,1494.394940877354,361.01717478003246,1,1,0
1,2017-04-01 12:00:00,3951.991785101678,1599.620270749963,343.81967323547013,1,1,1
2,2017-04-02 00:00:00,3405.8751195812197,1346.539590704706,211.39109506947224,1,1,0
3,2017-04-02 12:00:00,2677.8409647986914,1144.2094106574136,1.0729604514415312,1,1,1
4,2017-04-03 00:00:00,3620.4399368322433,1372.5454923350765,371.60029583822865,1,0,0
5,2017-04-03 12:00:00,4043.173001786113,1733.6173944156765,335.2093262889544,1,0,1
6,2017-04-04 00:00:00,3701.228585316077,1435.0670216181788,368.91973377240794,1,0,0
7,2017-04-04 12:00:00,3923.483912246282,1597.535718786781,337.7771838214341,1,0,1
8,2017-04-05 00:00:00,3694.6087061879048,1409.7763925068602,370.3601952373404,1,0,0
9,2017-04-05 12:00:00,3828.6588222715095,1540.9840995776738,328.39651094983145,1,0,1
10,2017-04-06 00:00:00,3666.106957300714,1388.8012337778734,368.42484998210995,1,0,0
11,2017-04-06 12:00:00,3863.566941838992,1573.5571828650527,333.398849395163,1,0,1
12,2017-04-07 00:00:00,3688.764011719657,1409.9560335444912,372.6577700169635,1,0,0
13,2017-04-07 12:00:00,3779.368411931943,1498.424368927661,331.55025695081264,1,0,1
14,2017-04-08 00:00:00,3849.1278013643655,1456.67216923687,424.1597426073142,1,1,0
15,2017-04-08 12:00:00,3961.508088600182,1663.372126999693,341.2929888750354,1,1,1
16,2017-04-09 00:00:00,3376.3901344319634,1377.0860403607676,230.99210053846443,1,1,0
17,2017-04-09 12:00:00,2895.331896740769,1377.17178876899,1.2202447802520875,1,1,1
18,2017-04-10 00:00:00,3875.873410329778,1588.026330350861,370.95455303241494,1,0,0
19,2017-04-10 12:00:00,4219.434859677226,1906.3747180469043,336.3800171154357,1,0,1
20,2017-04-11 00:00:00,3985.3759605091104,1662.5222867844102,381.33507984168745,1,0,0
