,timestamp,main_meter,sub_meter_1,sub_meter_2,building_number,weekend,corporate
0,2017-04-01 00:00:00,2713.6594808221544,1173.689833897321,1.45711360743165,1,1,0
1,2017-04-01 04:00:00,3931.024432564253,1460.1350607374975,453.9496171391294,1,1,0
2,2017-04-01 08:00:00,4692.003531612699,1849.3599279972443,627.6447935935362,1,1,1
3,2017-04-01 12:00:00,4862.756013800403,1977.8494595380196,626.4960595588011,1,1,1
4,2017-04-01 16:00:00,4101.55654230168,1595.1633384043937,403.3013367335288,1,1,1
5,2017-04-01 20:00:00,2891.6627992029503,1225.8480143074744,1.6616234140803936,1,1,0
6,2017-04-02 00:00:00,2693.2538407119678,1142.3502997981398,1.12194352096917,1,1,0
7,2017-04-02 04:00:00,3747.247225340402,1422.315305922332,259.19250564284226,1,1,0
8,2017-04-02 08:00:00,3777.124292691286,1474.9531663936443,373.8588360446053,1,1,1
9,2017-04-02 12:00:00,2744.6369499690018,1211.314323275025,1.308894168883241,1,1,1
10,2017-04-02 16:00:00,2669.9676643352113,1136.3412615437155,0.9772570635267223,1,1,1
11,2017-04-02 20:00:00,2618.9182800918593,1084.9726471535,0.9327301219146311,1,1,0
12,2017-04-03 00:00:00,2563.7318744281865,1018.1384934929758,0.6720990510906998,1,0,0
13,2017-04-03 04:00:00,3428.1829895395053,1202.49280264503,487.02834144419415,1,0,0
14,2017-04-03 08:00:00,4869.404946529038,1897.0051808672233,627.100447019401,1,0,1
15,2017-04-03 12:00:00,5066.207910702618,2253.3525357908065,626.1165290766927,1,0,1
16,2017-04-03 16:00:00,4248.597809549189,1787.8703596084515,378.1557836582316,1,0,1
17,2017-04-03 20:00:00,2814.7132851065285,1159.6292878477711,1.3556661319387249,1,0,0
18,2017-04-04 00:00:00,2604.1208692669197,1066.0659912962453,1.2885648746645364,1,0,0
19,2017-04-04 04:00:00,3889.930991930761,1415.2309008512857,479.85539511966545,1,0,0
20,2017-04-04 08:00:00,4609.633894750548,1823.9041727070066,625.6152413228941,1,0,1
21,2017-04-04 12:00:00,4803.56909620475,2012.7016149657748,625.5155415017406,1,0,1
22,2017-04-04 16:00:00,4118.767933228013,1576.4136445335928,386.82141948439687,1,0,1
23,2017-04-04 20:00:00,2848.114707306078,1203.4918968609732,0.9945904781648144,1,0,0
24,2017-04-05 00:00:00,2648.9174594547217,1115.243940278031,1.2597894534087735,1,0,0
25,2017-04-05 04:00:00,3916.6649442181624,1411.6860763893033,481.8974749694295,1,0,0
26,2017-04-05 08:00:00,4518.24371489083,1702.3991608532474,627.9233212891833,1,0,1
27,2017-04-05 12:00:00,4675.639448698551,1862.9615090024292,624.9134310159029,1,0,1
28,2017-04-05 16:00:00,3978.8815911489455,1581.9482620906915,358.57654962399477,1,0,1
29,2017-04-05 20:00:00,2831.455426967035,1178.0425276398994,1.6995522095968272,1,0,0
30,2017-04-06 00:00:00,2649.2425281984365,1093.5243844929037,0.761839862822673,1,0,0
